job_code,job_title
504938,HRIT Analyst
399,Director
600089,Dir World Language Education
504619,Sexual Health Specialist
504939,iOS Device Mgmt Lead
501409,Gear Up Coach
601808,"Director, Service Delivery"
504941,Timekeeping Assistant
501717,Transportation Supervisor
504942,Staffing Team Lead
501790,Staffing Representative
501186,At-Risk Student Coordinator
504943,"Manager, ATRC"
601266,Chief of Schools
601269,Deputy Chief of Schools
501276,Network Data Strategist
601270,Instructional Support Leader
504733,Lead Crisis Coordinator
601799,Science Manager
501772,"Manager, Authorization"
501183,"Director, Talent Acquisition"
501783,Leadership Development Spclst
500574,Sr Compliance Support Spec
600109,School Assignment Specialist
504944,Mgr Behavioral Health Supports
501793,"Dir, Transport Diverse Learner"
501792,Staffing Analyst
504412,Staffing Specialist
501769,"Vendor Manager, City Region"
504945,"Manager, Data Analytics"
601801,Chief of Language & Culture Ed
504849,Benefits Coordinator
600799,Special Edu Administrator
600795,District Representative
601809,"RSP Mgr, Occ & Phys Therapies"
601810,"RSP Manager, Social Work"
601811,"RSP Manager, School Psychology"
601812,Nurse Manager
601813,"RSP Mgr, Speech & Audiology"
983640,Senior Military Instructor
504981,Grant Support Specialist
504600,"Dir, Formula & Competve Grants"
504446,Sr Chng Mgmt Specialist
500555,"Manager, Vendor Operations"
501200,Sr Transportation Routing Spec
500951,Application Data Specialist
504307,"Dir, School Culture & Climate"
3019,After Schools Program Coord
601702,"Deputy Chief, Network Support"
20045,Professional III
601782,Transition Specialist
501123,Building Operations Manager
9904,Parent Worker - School Sec Aid
500218,STLS Transportation Specialist
4267,Cntrl Office Security Officer
504951,Safety Tech Regional Spec
504315,"Manager, Business Operations"
504625,Assistant Building Ops Mgr
501447,"Mgr, Early College Initiative"
504952,"Manager, Behavioral Support"
504953,"Director, NSS Operations"
504624,Managing FOIA Officer
500499,Staff Auditor
504388,Client Svcs Model School Engnr
500457,"Manager, Web Development"
504722,SIS Engagement Specialist
500905,Restorative Justice Coord
504954,Enterprise Tech Support Lead
504920,Sr Grant Analyst
504799,GEAR UP Col&Car Stdnt Svs Spec
600035,EL Network Specialist
504955,Prog Mgr Information Security
504956,Information Security Team Lead
600638,Chief Education Officer
504627,Internal Audit Director
600081,Chief Schools Officer
500626,Chief Financial Officer
501288,Data Strategist
504958,Accountability Lead
500486,Chief Internal Auditor
501540,Senior Auditor
600593,Social & Emotional Lrng Spec
501310,"Director, Special Projects"
500503,Assistant Inspector General
500108,Deputy Inspector General
504959,Citywide Assessment Team Mgr
601814,"ED, Principal Quality"
504961,"Dir, Educational Initiatives"
504962,"Dir, School Leadership Data"
501078,Chief Communications Officer
500134,"Director, Sports Admin"
360,Project Manager
75,Resident Principal
504963,Reflect & Learn Coord
600736,Literacy Intervention Teacher
445,Program Schedule Clerk
504999,"Dir, Project Portfolio Mgmt"
600643,Chief Community and Family Eng
504614,Media & Comm Specialist
604912,FACE Specialist
504245,"Director, Parent University"
601815,"Dir, School Leader Progrm Eval"
504292,Performance Task Manager
505010,"ED, Innovation & Incubation"
504966,"Director, School Supports"
504374,"Mgr, School Perfomance & Spprt"
504482,"Mgr, Fiscal Perf & Acctability"
504372,Financial Compliance Spec
500542,"Director, School Development"
504376,"Dir, Performance & Acctblty"
504334,Newcomer Services Specialist
504291,"Director, College Access"
601804,Literacy Specialist K-8
504287,School Scheduling Manager
604448,"ED, STEM"
600792,EL Program Manager
504967,Sr Recruitment Specialist
504260,Recruitment Specialist
601431,MTSS Manager
504746,"Manager, Professional Learning"
504716,"ED, Procurement"
600038,EL Instructional Manager
504430,Juvenile Justice Manager
600101,"Mgr, District Representatives"
20035,Professional V
600796,Personalized Learning Instr Ld
504309,District Representative
504629,CTE Director
600786,"ED, Social Science & Civic Eng"
601816,"Sr Mgr, Network Prof Lrng"
600446,School Culture Coordinator
501297,"Dir, Training & Quality"
501261,Chief Health Officer
504969,School Budget Manager
504320,SFA Contact Center Manager
504811,Accounts Payable Manager
600798,Educator Effectiveness Spec
504739,State Data Compliance Manager
504363,Windows Management Engineer
601817,Program Coordinator
504867,"ED, Entrprs Trnsfrmtn Strategy"
504814,"Director, Financial Controls"
504972,Data Reporting Specialist
501708,Output Device Specialist
504385,Cash Manager
504812,Accounts Payable Specialist
501776,Financial Compliance Analyst
501242,Senior Revenue Specialist
504404,"Director, Revenue"
504808,Accounting Manager
500181,Financial Reporting Manager
504622,Deputy Controller
504389,Assistant Controller
504736,Student Health Specialist
501262,School Wellness Specialist
600801,"ED, Magnet, Gifted & IB Prgrms"
500593,Social & Emotional Lrng Spec
501483,Senior Data Strategist
504749,"Director, Data Management"
600666,Deputy Chief of Staff
501609,"ED, Media Relations"
500721,Freedom of Info Act Officer
504759,Project Analyst
601818,"Mgr, Family & Community Eng"
504936,Application Data Team Lead
500030,Audit Lead
504976,Chief Budget Officer
504823,"Director, Medicaid"
504448,Leaves Analyst
504449,Leaves Specialist
504714,Student Application Manager
504977,School CIWP Specialist
504807,Business Process Manager
504979,Dir School Quality & Support
604397,"Mgr, Instructional Quality"
504980,"Director, Physical Education"
182,Treasury Analyst
504840,Charter Grant Programs Lead
501815,Category Buyer
504467,Procurement Operations Spec
505041,Sr Vendor Sppt Svs Specialist
20040,Professional IV
504982,"Director, Data Analytics"
600583,"Manager, Mathematics"
504530,Human Resources Manager
504983,CIMBY Stewardship Coordinator
600019,Assessment Manager
604396,Transition Manager
601047,"Mgr, Inst Learn Design & Strat"
974100,Program Manager
501347,College and Career Specialist
504596,Testing Assistant
504984,Business Diversity Analyst
504985,"Sr Manager, Business Diversity"
504986,Grant Program Specialist
500939,Conflict Resolution Specialist
504498,Community Integration Spec
504481,Re-Engagement Workshop Fac
504727,"ED, Continuous Improvement"
601819,"Director, Options Schools"
604831,Senior Program Manager
601828,Data Manager
504989,Family Resource Specialist
504764,Data Scientist
504712,Educator Eqty Recruitment Mgr
504664,Dir Teacher Residency Programs
504990,Communications Specialist
504473,Comprehensive Service Coord
504492,Family Engagement Coordinator
500831,Parent Involvement Specialist
504522,CFBU Coordinator
504992,"Director, Pipeline Diversity"
504695,Tchr Pathways Ops Specialist
504652,Staff Attorney
600060,Chief Executive Officer
504569,High School SEL Support Mgr
504971,Medicaid Operations Analyst
504525,Medicaid Compliance Manager
504994,"Mgr, College & Career Spec"
504526,"ED, Sports Administration"
504790,"Director, Strategy"
500320,Press Secretary
501743,Chief Operating Officer
500936,Project Manager - Pro IV
601046,Education for Employment Mgr
504273,Director Personalized Learning
504336,"Manager, Edu Tech Operations"
600800,"Mgr, Personalized Learning"
500521,Deputy Chief of Public Policy
504995,Sustnble Community Schls Coord
504742,Transition Support Coordinator
504626,Assistant Chief Investigator
504551,Quality Assurance Specialist
504490,Sr Quality Assurance Manager
500774,Quality Assurance Manager
600063,Case Manager
504553,"Sr Mgr, Facilities Operations"
504554,"Sr Mgr, Engineering Support"
600065,Distributed Leadership Spec
504997,Behavioral Support Specialist
504850,"ED, CIDL"
601319,Literacy Specialist: HS
601329,Math Specialist: HS
601332,Science Specialist: HS
504557,"Dir, Compliance & Training"
504672,Title IX Coord Team Lead
504559,Student Protections Coord
504674,Title IX Field Spec Team Lead
504703,Student Protections Specialist
504556,"Dir, Student Protections Coord"
504560,Title IX Investigator
504842,OSP & Title IX Specialist
504841,Civil Rights Investigator
505045,Deputy Chief Title IX Officer
601276,Network Data Strategist
504547,Network Operations Manager
504563,Title IX Officer
601820,Adv Practice Registered Nurse
600068,Teacher Leadership Specialist
601821,Mgr Student Discipline Support
850,Head Braille Transcriber
601331,Science Specialist: 6-8
501719,Chief-College & Career Success
504576,"Mgr, Instructional Tech Suppt"
504593,Building Operations Team Lead
504592,Building Operations Specialist
505001,Community Schls Initiative Mgr
600072,Educator Engagement Manager
600074,"Manager, Digital Curriculum"
501803,Mgr STEM Initiatives
601437,"Dir, Instructional Quality"
3830,Social Worker Assistant
504777,Civic Engagement Manager
501254,"Dir, Faith-Based Initiatives"
601829,Testing Coordinator
505002,Scheduling & Course Code Mgr
604880,LSC Relations Specialist
20050,Professional II
601822,"Manager, Supportive Schools"
500046,Business Diversity Manager
504844,Communications Manager
600079,Educator Equity Specialist
600080,Elem School SEL Support Mgr
504776,Work-Based Learning Specialist
600082,Instructional Support Spec
600610,"Dir, Student Achievement-AUSL"
505037,Curriculum Specialist
600091,Curriculum Specialist
600092,"Chief, Diverse Lrnr Supt & Svc"
504680,Distributed Leadership Coord
500506,"Director, Early Learning"
504684,Deputy Chief of FACE
504754,Senior Graphic Designer
500723,Graphic Designer
504797,Marketing Manager
600575,Deputy Chief of ODLSS
600069,Refugee Social Worker
505005,Records Coordinator
600094,Project Based Learning Manager
500857,Systems Analyst
504697,CTE Dual Credit Coordinator
501512,Real Estate Analyst
601823,"Senior Manager, School CI"
501401,Academic Competition Coord
504706,Instructional Support Spec
600097,Deputy Chief of Small HS
600100,Director K-16 Policy
600099,Curriculum Designer
501418,"ED, Access & Enrollment"
504726,AAC Implementation Coach
504729,Report Developer
601824,"Manager, UX"
505008,MHP Coordinator
504732,Mental Hlth Prof Grant Spec
601411,ES School Support Specialist
501251,Health Education Specialist
505009,ECE Instructional Team Lead
501663,Title 1 Manager
504780,Data Compliance Team Lead
504748,School Partnerships Coord
601410,CSSI Student Supports Manager
600105,Instructional Tech Suppt Spec
504692,"Dir, Digital Solutions UX"
601434,Library Digital Media Manager
504757,Post-Secondary Champion
505011,"Senior Manager, LSC Relations"
504767,Detention Transition Coord
600110,Fine & Prfrmng Arts Schls Spec
504770,Healthy CPS Network Specialist
600793,EL Program Specialist
504824,Healthy CPS Hotline Coord
504772,Talent Development Manager
504843,IL Empower Manager
504774,Chief of Early Childhood Ed
601781,Project Manager
500992,STLS Advocate
600090,Induction Lead Coach
504698,World Language Education Spec
504670,EL Post Secondary Manager
600036,EL Instructional Specialist
600088,EL Program Director
505034,"Mgr, Strategic Planning & Data"
505000,Testing Coordinator
504792,Intake Contact Tracer
505013,"Dir, Community Partnerships"
504701,EL Program Specialist
601412,Financial Education Specialist
501536,Fellow
601414,Equity Achievement Specialist
504661,"Dir, Digital Communications"
601415,"Dir, Cross Content Initiatives"
601419,"Manager, School Supports"
504809,"ED, Early College & Career Ed"
504802,School Internal Accounts Mgr
601418,Library & Digital Media Spec
501570,Instr Effectiveness Specialist
601048,Arts Education Specialist
505015,Program Focus Incubation Mgr
504825,"Dir, Related Service Providers"
505016,Campus Governance Manager
504833,"Director, School Nursing"
504830,Talent Development Specialist
601423,Training Specialist
601421,Teacher Leadership Manager
504838,Crossing Guard - pre-2006
504837,Crossing Guard
504857,Community Partnership Spec
504848,Financial Education Manager
504495,Workers Compensation Manager
504603,"Dir, Training Systems & Suppts"
505018,School Compliance Analyst
505019,Sr Leaves Systems Analyst
504826,Athletic Compliance Manager
501386,External Research Coordinator
505020,"Director, School Counseling"
600315,Physical Education Specialist
504571,Facilities Automation Arch
504584,"Mgr, Enterprise Srvce Delivery"
504828,Empl Relations Administrator
504827,Marketing & Coms Coordinator
505021,Translation Manager
504590,Citywide Bilingual Translator
504676,"Dir, Libraries & Instr Tech"
505050,"Director, Compensation"
504660,Talent Recruiter
600062,Network Operations Manager
504607,Equity Policy Strategist
501273,Chief Portfolio Officer
504552,Risk and Insurance Analyst
504705,"Sr Manager, Renovations"
505003,Sr SQL Database Administrator
504585,Id & Access Mgmnt Engineer
500476,Server Operations Engineer
500036,Benefits Manager
505022,Claims Coordinator
504800,Teacher Residency Coordinator
504444,"Director, Marketing"
601428,"Manager, Social Science"
504765,Training Facilitator
501764,Claims Analyst
504879,Investigations Team Lead
505024,Grant Operations Coordinator
504643,Network Liaison
504642,CTE Cluster Manager
504648,Intake Specialist Team Lead
504649,Intake Specialist
504771,"Manager, Substitute Services"
504620,Physical Activity Specialist
505046,"ED, Equity Office"
504711,District Assessment System Arc
504613,Arts Education Specialist
504710,Transition Grant Assistant
504766,IT Training Specialist
504822,IT Training & Comms Lead
504866,e-Builder Coordinator
504996,Safety Compliance Specialist
504640,e-Builder Administrator
505026,Sr Mgr ADA Cap & Facilities
505027,"Director, Safety Operations"
504646,Training & Compliance Manager
500842,Grant Writer
500735,Investigator III
505029,Contract Specialist
500244,Legal Secretary
504761,Parent University Campus Coord
505030,CFF Financial Manager
600075,Resident Teacher
504751,Volunteer Coordinator
505031,Student Records Processor
504745,Accounts Receivable Manager
504647,Student Safety Center Manager
504720,Asset Manager
504639,Real Estate Legal Director
504645,Options Schools Project Dir
504641,Dir Energy & Sustainability
501587,Community Schools Initve Coord
504778,Tier I Teaming Specialist
600113,Classroom Intervention Spec
504779,Community Engagement Spec
600114,"ED, School Supports"
504763,"Director, Strategic Planning"
504667,Policy Advisor
504785,Dir Tchr Leader Strategy & Ops
601420,EL Network Manager
601405,ED School Cnslng & PS Advising
505032,"Dir, Postsecondary Pathways"
505007,Community Partnership Speciali
504878,"Director, Chicago Roadmap"
504851,Professional Learning Spec
504937,Clinical Operations Manager
601436,"ED, School Resource Strategy"
504946,School Garden Specialist
575000,Coordinator (Unevaluated Role)
504947,Intake Contact Tracer Lead
504465,Comp Science Integration Spec
504537,Computer Sci Tech Team Lead
504949,Crossing Guard Team Lead
504948,Crossing Guard Manager
504950,Vendor Support Svs Lead
504968,Associate Grant Writer
504987,"ED, Instructional Supports"
505039,Vaccination Clinic Coordinator
505042,Distributed Leadership Spec
601444,Executive Director Instruction
501174,Outreach Coordinator
500456,Equipment Repair Technician
501222,Equipment Coordinator
500344,Records Specialist
501472,Press Assistant
501224,Time & Attendance Specialist
504339,Managed Services Support Lead
500162,Erp Analyst
504451,"Manager, Performance Policy"
500923,Foreign Language Translator
501239,Windows Server Engineer
501796,Executive Director
500396,Senior Financial Specialist
501202,Transportation CS Team Lead
504381,"ED, Extrnl Affairs & Prtnrshps"
501277,Family & Community Engmnt Mgr
601328,Math Specialist: 6-8
500335,Project Coordinator
504924,Network Safety Support Manager
504350,"Mgr, Identity & Access Mgmt"
504930,ED Student Suppt & Engagement
501691,Chf of Staff to Chief Exec Off
501704,Environmental Compliance Spec
501718,Field Manager
501716,Fleet Supervisor
10040,Professional IV
504586,Sr. Business Analyst
501017,Mgr Postsecondary Initiatives
500274,"Director, Sports Operations"
504788,Recruitment & Selection Mgr
10020,Manager
504957,Spec Asst to the CEdO
501746,Special Projects Manager
500487,Chief Policy Officer
504362,Apple Management Engineer
500522,"Director, Board Relations"
940,Audio-Visual Technician
501686,CSI Coach
501665,Faith-Based Community Coord
600794,"Director, PQI"
504364,Mac Platform Lead
500146,Business Diversity Compl Spec
504975,"ED, Stakeholder Communications"
601802,Chief Administrative Officer
504488,"Dir, Inst Learn Design & Strat"
504437,Transaction Analyst
504991,Digital Media Team Lead
504784,Deputy Chief
504993,"Mgr, Computer Sci Integration"
20015,Senior Manager
504687,Deputy Chief COO
504550,Assoc Director of Development
601441,Math Specialist: HS
504998,Sr Title IX Training Spec
600071,Chief Equity Officer
504609,Sr Board Analyst
504598,Resident Social Worker
504506,"Senior Manager, Construction"
601825,"Mgr, PreK-12 Curriculum"
600104,Student Support Team Coach
600112,Civic Learning Specialist
504709,EL Program Specialist
505012,COVID-19 Response Manager
20020,Manager
501597,Manager of Data Strategy
504455,"Director, Computer Science"
505017,Authorization Process Coord
601725,Deputy Chief  Teaching & Lrng
